timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1702759633573,48,PESQUISAR_TODOS_OS_LIVROS,200,OK,GRUPO_DE_USUARIOS_DA_BIBLIOTE 1-1,text,true,,687,131,9,9,http://localhost:5000/api/v1/livros,48,0,2
1702759633578,50,PESQUISAR_TODOS_OS_LIVROS,200,OK,GRUPO_DE_USUARIOS_DA_BIBLIOTE 1-3,text,true,,687,131,8,8,http://localhost:5000/api/v1/livros,50,0,1
1702759633580,40,PESQUISAR_TODOS_OS_LIVROS,200,OK,GRUPO_DE_USUARIOS_DA_BIBLIOTE 1-5,text,true,,687,131,7,7,http://localhost:5000/api/v1/livros,40,0,2
1702759633581,41,PESQUISAR_TODOS_OS_LIVROS,200,OK,GRUPO_DE_USUARIOS_DA_BIBLIOTE 1-2,text,true,,687,131,6,6,http://localhost:5000/api/v1/livros,41,0,2
1702759633584,33,PESQUISAR_TODOS_OS_LIVROS,200,OK,GRUPO_DE_USUARIOS_DA_BIBLIOTE 1-10,text,true,,687,131,5,5,http://localhost:5000/api/v1/livros,33,0,2
1702759633586,33,PESQUISAR_TODOS_OS_LIVROS,200,OK,GRUPO_DE_USUARIOS_DA_BIBLIOTE 1-7,text,true,,687,131,5,5,http://localhost:5000/api/v1/livros,33,0,2
1702759633588,34,PESQUISAR_TODOS_OS_LIVROS,200,OK,GRUPO_DE_USUARIOS_DA_BIBLIOTE 1-8,text,true,,687,131,4,4,http://localhost:5000/api/v1/livros,34,0,1
1702759633590,33,PESQUISAR_TODOS_OS_LIVROS,200,OK,GRUPO_DE_USUARIOS_DA_BIBLIOTE 1-4,text,true,,687,131,4,4,http://localhost:5000/api/v1/livros,33,0,1
1702759633594,23,PESQUISAR_TODOS_OS_LIVROS,200,OK,GRUPO_DE_USUARIOS_DA_BIBLIOTE 1-9,text,true,,687,131,3,3,http://localhost:5000/api/v1/livros,23,0,1
1702759633596,11,PESQUISAR_TODOS_OS_LIVROS,200,OK,GRUPO_DE_USUARIOS_DA_BIBLIOTE 1-10,text,true,,687,131,3,3,http://localhost:5000/api/v1/livros,11,0,0
1702759633598,9,PESQUISAR_TODOS_OS_LIVROS,200,OK,GRUPO_DE_USUARIOS_DA_BIBLIOTE 1-8,text,true,,687,131,3,3,http://localhost:5000/api/v1/livros,9,0,0
